,Sujets,Group,Effectif,TrainingPhase,Compatibility,Quantiles,MeanRT,PercentCorrect,NofResp,asinPC
1,c8r2,control,1.0,early,incompatible,2,334.8840381991814,0.704,104,0.9954814134886778
2,c8r2,control,1.0,early,incompatible,3,406.97135061391555,0.8554,104,1.1806988607418816
3,c8r2,control,1.0,early,incompatible,4,490.0818553888129,0.8022,104,1.1098837775952557
4,c8r2,control,1.0,early,incompatible,5,583.6152796725785,0.779,104,1.0813727676671436
5,c8r2,control,1.0,early,incompatible,6,709.4133697135067,0.7517,104,1.049168107759269
6,c8r2,control,1.0,early,incompatible,7,1087.039563437926,0.6276,104,0.914382680058516
0,c8r2,control,1.0,medium,compatible,1,206.2684365781711,1.0,96,1.5707963267948966
1,c8r2,control,1.0,medium,compatible,2,235.29498525073745,1.0,96,1.5707963267948966
2,c8r2,control,1.0,medium,compatible,3,259.9262536873156,1.0,96,1.5707963267948966
3,c8r2,control,1.0,medium,compatible,4,293.6578171091446,1.0,96,1.5707963267948966
4,c8r2,control,1.0,medium,compatible,5,348.702064896755,1.0,96,1.5707963267948966
5,c8r2,control,1.0,medium,compatible,6,441.78466076696157,1.0,96,1.5707963267948966
6,c8r2,control,1.0,medium,compatible,7,609.6460176991152,0.9897,96,1.4690076109561123
0,c8r2,control,1.0,medium,incompatible,1,228.30400000000003,0.8992,89,1.247716162386864
1,c8r2,control,1.0,medium,incompatible,2,278.848,0.8768,89,1.2121590305847225
2,c8r2,control,1.0,medium,incompatible,3,329.4719999999998,0.944,89,1.3318884665598825
3,c8r2,control,1.0,medium,incompatible,4,399.64800000000014,0.888,89,1.229549104970484
4,c8r2,control,1.0,medium,incompatible,5,482.832,0.9216,89,1.2870022175865685
5,c8r2,control,1.0,medium,incompatible,6,607.4719999999994,0.9104,89,1.2668037807375072
6,c8r2,control,1.0,medium,incompatible,7,947.5200000000002,0.7872,89,1.0913338247463464
0,c8r2,control,1.0,late,compatible,1,202.90012033694344,1.0,118,1.5707963267948966
1,c8r2,control,1.0,late,compatible,2,234.42839951865224,1.0,118,1.5707963267948966
2,c8r2,control,1.0,late,compatible,3,262.16606498194955,1.0,118,1.5707963267948966
3,c8r2,control,1.0,late,compatible,4,290.99879663056544,1.0,118,1.5707963267948966
4,c8r2,control,1.0,late,compatible,5,327.03971119133575,1.0,118,1.5707963267948966
5,c8r2,control,1.0,late,compatible,6,393.47773766546356,1.0,118,1.5707963267948966
6,c8r2,control,1.0,late,compatible,7,583.4055354993982,0.9916,118,1.478883620159948
0,c8r2,control,1.0,late,incompatible,1,221.09677419354838,0.9368,110,1.316621053102392
1,c8r2,control,1.0,late,incompatible,2,269.21290322580643,0.9006,110,1.250121741054496
2,c8r2,control,1.0,late,incompatible,3,308.567741935484,0.991,110,1.4756184066739217
3,c8r2,control,1.0,late,incompatible,4,363.7032258064515,0.9832,110,1.4409129089181996
4,c8r2,control,1.0,late,incompatible,5,424.14193548387107,0.9897,110,1.4690174526872664
5,c8r2,control,1.0,late,incompatible,6,513.6258064516132,0.9639,110,1.3795547738324232
6,c8r2,control,1.0,late,incompatible,7,805.9612903225803,0.8826,110,1.2210451362889412
0,c9r1,test2,1.0,early,compatible,1,226.39791937581273,0.9909,109,1.4752403446003601
1,c9r1,test2,1.0,early,compatible,2,294.26527958387516,1.0,109,1.5707963267948966
2,c9r1,test2,1.0,early,compatible,3,342.2886866059817,1.0,109,1.5707963267948966
3,c9r1,test2,1.0,early,compatible,4,391.58647594278295,1.0,109,1.5707963267948966
4,c9r1,test2,1.0,early,compatible,5,449.921976592978,0.9909,109,1.4752403446003601
5,c9r1,test2,1.0,early,compatible,6,538.4395318595574,0.9909,109,1.4752403446003601
6,c9r1,test2,1.0,early,compatible,7,762.7308192457739,0.8908,109,1.233960030210754
0,c9r1,test2,1.0,early,incompatible,1,229.21167883211677,0.9387,97,1.320576450403639
1,c9r1,test2,1.0,early,incompatible,2,317.06569343065695,0.9489,97,1.3427856982760344
2,c9r1,test2,1.0,early,incompatible,3,380.2189781021897,0.9182,97,1.2808282376331204
3,c9r1,test2,1.0,early,incompatible,4,435.9562043795621,0.9182,97,1.2808282376331204
4,c9r1,test2,1.0,early,incompatible,5,530.0145985401458,0.8336,97,1.150588066011426
5,c9r1,test2,1.0,early,incompatible,6,686.2335766423356,0.7679,97,1.0681048041012748
6,c9r1,test2,1.0,early,incompatible,7,979.6496350364966,0.673,97,0.9620420220662405
0,c9r1,test2,1.0,medium,compatible,1,205.2743561030235,0.9922,127,1.4821445031651697
1,c9r1,test2,1.0,medium,compatible,2,252.57558790593507,1.0,127,1.5707963267948966
2,c9r1,test2,1.0,medium,compatible,3,283.6506159014558,1.0,127,1.5707963267948966
3,c9r1,test2,1.0,medium,compatible,4,321.95968645016796,1.0,127,1.5707963267948966
4,c9r1,test2,1.0,medium,compatible,5,367.290033594625,0.9922,127,1.4821445031651697
5,c9r1,test2,1.0,medium,compatible,6,445.72228443449046,0.9922,127,1.4821445031651697
6,c9r1,test2,1.0,medium,compatible,7,637.2564389697648,0.9451,127,1.3343518902209486
0,c9r1,test2,1.0,medium,incompatible,1,202.9875,0.9562,114,1.3600736011828594
1,c9r1,test2,1.0,medium,incompatible,2,267.725,0.9738,114,1.4080622138303425
2,c9r1,test2,1.0,medium,incompatible,3,316.8749999999999,0.9562,114,1.3600736011828594
3,c9r1,test2,1.0,medium,incompatible,4,372.20000000000016,0.9463,114,1.3368278205155901
4,c9r1,test2,1.0,medium,incompatible,5,445.87499999999994,0.9275,114,1.298173530400161
5,c9r1,test2,1.0,medium,incompatible,6,575.2249999999996,0.8112,114,1.1213642864917868
6,c9r1,test2,1.0,medium,incompatible,7,884.3250000000003,0.7375,114,1.0328797852541651
0,c9r1,test2,1.0,late,compatible,1,209.2300194931774,1.0,146,1.5707963267948966
1,c9r1,test2,1.0,late,compatible,2,252.58284600389862,0.9932,146,1.4881047582207279
2,c9r1,test2,1.0,late,compatible,3,282.9044834307992,1.0,146,1.5707963267948966
3,c9r1,test2,1.0,late,compatible,4,313.5672514619884,0.9932,146,1.4881047582207279
4,c9r1,test2,1.0,late,compatible,5,356.62768031189074,0.9932,146,1.4881047582207279
5,c9r1,test2,1.0,late,compatible,6,426.68615984405454,0.9932,146,1.4881047582207279
6,c9r1,test2,1.0,late,compatible,7,626.6179337231968,0.9727,146,1.404835003602121
0,c9r1,test2,1.0,late,incompatible,1,213.5846994535519,0.9617,130,1.3739487664774246
1,c9r1,test2,1.0,late,incompatible,2,276.78688524590166,0.977,130,1.4187156143229172
2,c9r1,test2,1.0,late,incompatible,3,326.983606557377,0.9541,130,1.3548777217175516
3,c9r1,test2,1.0,late,incompatible,4,381.6065573770492,0.9388,130,1.3208107905517195
4,c9r1,test2,1.0,late,incompatible,5,450.2841530054643,0.9158,130,1.2764741750805588
5,c9r1,test2,1.0,late,incompatible,6,553.0054644808746,0.8776,130,1.2133718240255307
6,c9r1,test2,1.0,late,incompatible,7,830.4699453551909,0.8164,130,1.1279718505084633
0,c10r1,test1,1.0,early,compatible,1,191.84931506849315,1.0,146,1.5707963267948966
1,c10r1,test1,1.0,early,compatible,2,217.67123287671234,1.0,146,1.5707963267948966
2,c10r1,test1,1.0,early,compatible,3,246.7123287671233,0.9932,146,1.4879354342434472
3,c10r1,test1,1.0,early,compatible,4,297.8767123287671,0.9932,146,1.4879354342434472
4,c10r1,test1,1.0,early,compatible,5,350.2054794520548,1.0,146,1.5707963267948966
5,c10r1,test1,1.0,early,compatible,6,415.8904109589041,0.9932,146,1.4879354342434472
6,c10r1,test1,1.0,early,compatible,7,587.3287671232877,0.9726,146,1.4045084464387543
0,c10r1,test1,1.0,early,incompatible,1,217.6020942408377,0.777,136,1.0789342756168963
1,c10r1,test1,1.0,early,incompatible,2,290.65968586387436,0.6953,136,0.9860262005427204
2,c10r1,test1,1.0,early,incompatible,3,379.7277486910995,0.8901,136,1.2328151639204372
3,c10r1,test1,1.0,early,incompatible,4,448.75392670157055,0.7288,136,1.023039779994757
4,c10r1,test1,1.0,early,incompatible,5,543.2565445026179,0.6702,136,0.9590232639770302
5,c10r1,test1,1.0,early,incompatible,6,685.9685863874347,0.6073,136,0.8935703321826691
6,c10r1,test1,1.0,early,incompatible,7,1076.230366492147,0.3812,136,0.6654014617715099
0,c10r1,test1,1.0,medium,compatible,1,190.58541266794626,1.0,148,1.5707963267948966
1,c10r1,test1,1.0,medium,compatible,2,218.2245681381958,1.0,148,1.5707963267948966
2,c10r1,test1,1.0,medium,compatible,3,244.96161228406908,1.0,148,1.5707963267948966
3,c10r1,test1,1.0,medium,compatible,4,286.41074856046066,1.0,148,1.5707963267948966
4,c10r1,test1,1.0,medium,compatible,5,339.8752399232247,1.0,148,1.5707963267948966
5,c10r1,test1,1.0,medium,compatible,6,407.7063339731283,1.0,148,1.5707963267948966
6,c10r1,test1,1.0,medium,compatible,7,572.0537428023033,0.9798,148,1.428352356140424
0,c10r1,test1,1.0,medium,incompatible,1,215.4182879377432,0.9523,146,1.3506980604890937
1,c10r1,test1,1.0,medium,incompatible,2,265.9630350194552,0.9047,146,1.256910571568557
2,c10r1,test1,1.0,medium,incompatible,3,330.8073929961089,0.9484,146,1.3417395696289727
3,c10r1,test1,1.0,medium,incompatible,4,385.3696498054475,0.9154,146,1.2756170361231869
4,c10r1,test1,1.0,medium,incompatible,5,453.1322957198445,0.9251,146,1.2935763548705874
5,c10r1,test1,1.0,medium,incompatible,6,570.3307392996105,0.8979,146,1.2454966674275736
6,c10r1,test1,1.0,medium,incompatible,7,870.6906614785994,0.7276,146,1.0217258430990461
0,c10r1,test1,1.0,late,compatible,1,184.38743455497382,1.0,136,1.5707963267948966
1,c10r1,test1,1.0,late,compatible,2,209.06806282722513,0.9927,136,1.4850729406377743
2,c10r1,test1,1.0,late,compatible,3,232.52356020942412,0.9927,136,1.4850729406377743
3,c10r1,test1,1.0,late,compatible,4,264.59685863874336,1.0,136,1.5707963267948966
4,c10r1,test1,1.0,late,compatible,5,309.0157068062828,1.0,136,1.5707963267948966
5,c10r1,test1,1.0,late,compatible,6,372.03141361256553,1.0,136,1.5707963267948966
6,c10r1,test1,1.0,late,compatible,7,544.7958115183247,0.9853,136,1.4494205578132227
0,c10r1,test1,1.0,late,incompatible,1,200.54313099041534,0.9776,134,1.4206887758161448
1,c10r1,test1,1.0,late,incompatible,2,236.3897763578275,0.9627,134,1.3765115244370265
2,c10r1,test1,1.0,late,incompatible,3,266.6773162939297,0.9627,134,1.3765115244370265
3,c10r1,test1,1.0,late,incompatible,4,313.09904153354626,0.9404,134,1.3240939617007774
4,c10r1,test1,1.0,late,incompatible,5,373.7699680511181,0.9702,134,1.397246555991191
5,c10r1,test1,1.0,late,incompatible,6,472.6304579339726,0.9404,134,1.3240939617007774
6,c10r1,test1,1.0,late,incompatible,7,735.5378061767838,0.836,134,1.1538454359617762
0,c10r2,test2,1.0,early,compatible,1,218.09464508094646,0.9738,114,1.4083649306753472
1,c10r2,test2,1.0,early,compatible,2,261.9676214196762,1.0,114,1.5707963267948966
2,c10r2,test2,1.0,early,compatible,3,296.52552926525533,0.9913,114,1.4772956999182745
3,c10r2,test2,1.0,early,compatible,4,342.3412204234121,0.9826,114,1.4383666636336798
4,c10r2,test2,1.0,early,compatible,5,395.0560398505604,0.9913,114,1.4772956999182745
5,c10r2,test2,1.0,early,compatible,6,470.7845579078459,0.9738,114,1.4083649306753472
6,c10r2,test2,1.0,early,compatible,7,658.2316313823161,0.8867,114,1.2274516861193123
0,c10r2,test2,1.0,early,incompatible,1,228.4840425531915,0.8418,107,1.1616782275662727
1,c10r2,test2,1.0,early,incompatible,2,295.4255319148936,0.8138,107,1.1246694050108217
2,c10r2,test2,1.0,early,incompatible,3,357.7393617021276,0.8324,107,1.149073292488272
3,c10r2,test2,1.0,early,incompatible,4,432.48670212765967,0.8418,107,1.1616782275662727
4,c10r2,test2,1.0,early,incompatible,5,521.8085106382977,0.7673,107,1.067399548615202
5,c10r2,test2,1.0,early,incompatible,6,637.2872340425532,0.6835,107,0.9733005209859523
6,c10r2,test2,1.0,early,incompatible,7,932.1010638297873,0.5904,107,0.8763247670778169
0,c10r2,test2,1.0,medium,compatible,1,212.7906976744186,0.9845,129,1.4459595193056125
1,c10r2,test2,1.0,medium,compatible,2,254.65116279069767,1.0,129,1.5707963267948966
2,c10r2,test2,1.0,medium,compatible,3,285.5813953488372,1.0,129,1.5707963267948966
3,c10r2,test2,1.0,medium,compatible,4,322.7906976744186,1.0,129,1.5707963267948966
4,c10r2,test2,1.0,medium,compatible,5,377.3643410852713,0.9767,129,1.4177024289352327
5,c10r2,test2,1.0,medium,compatible,6,448.4496124031008,0.9845,129,1.4459595193056125
6,c10r2,test2,1.0,medium,compatible,7,603.2558139534884,0.969,129,1.393782961515352
0,c10r2,test2,1.0,medium,incompatible,1,222.92161520190027,0.8337,120,1.1507940207598866
1,c10r2,test2,1.0,medium,incompatible,2,277.3990498812351,0.7672,120,1.0673207820527393
2,c10r2,test2,1.0,medium,incompatible,3,327.5296912114013,0.7435,120,1.03968751716531
3,c10r2,test2,1.0,medium,incompatible,4,416.080760095012,0.7648,120,1.0645173906072904
4,c10r2,test2,1.0,medium,incompatible,5,524.3467933491686,0.8266,120,1.141303359603205
5,c10r2,test2,1.0,medium,incompatible,6,651.2232779097384,0.6449,120,0.9323992743862259
6,c10r2,test2,1.0,medium,incompatible,7,931.1045130641332,0.5986,120,0.8846227127506991
0,c10r2,test2,1.0,late,compatible,1,204.80968858131487,0.9758,123,1.414528438682837
1,c10r2,test2,1.0,late,compatible,2,245.02883506343713,1.0,123,1.5707963267948966
2,c10r2,test2,1.0,late,compatible,3,268.97347174163775,0.9919,123,1.4808215531133235
3,c10r2,test2,1.0,late,compatible,4,293.6678200692042,0.9919,123,1.4808215531133235
4,c10r2,test2,1.0,late,compatible,5,333.367935409458,0.9758,123,1.414528438682837
5,c10r2,test2,1.0,late,compatible,6,398.05074971164913,1.0,123,1.5707963267948966
6,c10r2,test2,1.0,late,compatible,7,552.2952710495964,0.9354,123,1.313832249110137
0,c10r2,test2,1.0,late,incompatible,1,205.89743589743588,0.8632,117,1.1920015420134937
1,c10r2,test2,1.0,late,incompatible,2,245.47008547008548,0.9231,117,1.2897617035307238
2,c10r2,test2,1.0,late,incompatible,3,286.2393162393162,0.8803,117,1.2175800446485034
3,c10r2,test2,1.0,late,incompatible,4,344.017094017094,0.8889,117,1.2309592925946067
4,c10r2,test2,1.0,late,incompatible,5,436.0683760683761,0.8034,117,1.1114353326408433
5,c10r2,test2,1.0,late,incompatible,6,553.7606837606837,0.812,117,1.1222789443678278
6,c10r2,test2,1.0,late,incompatible,7,858.2051282051282,0.7265,117,1.0204567873713422
0,c13r1,test1,1.0,early,compatible,1,226.86356073211317,0.9942,171,1.4944102249303552
1,c13r1,test1,1.0,early,compatible,2,280.7071547420965,1.0,171,1.5707963267948966
2,c13r1,test1,1.0,early,compatible,3,362.8119800332778,1.0,171,1.5707963267948966
3,c13r1,test1,1.0,early,compatible,4,441.5723793677206,0.9942,171,1.4944102249303552
4,c13r1,test1,1.0,early,compatible,5,543.7354409317802,0.9884,171,1.4626603467789079
5,c13r1,test1,1.0,early,compatible,6,700.0166389351078,0.9767,171,1.417571334132538
6,c13r1,test1,1.0,early,compatible,7,1199.3677204658904,0.9651,171,1.382764286563486
0,c13r1,test1,1.0,early,incompatible,1,247.23237597911228,0.933,164,1.3089435236410945
1,c13r1,test1,1.0,early,incompatible,2,347.0931244560487,0.9574,164,1.3627920741977293
2,c13r1,test1,1.0,early,incompatible,3,441.84508268059193,0.9574,164,1.3627920741977293
3,c13r1,test1,1.0,early,incompatible,4,541.5230635335072,0.9269,164,1.297006087139811
4,c13r1,test1,1.0,early,incompatible,5,657.6240208877283,0.8721,164,1.2050105770186197
5,c13r1,test1,1.0,early,incompatible,6,839.3211488250657,0.8111,164,1.1212239008164404
6,c13r1,test1,1.0,early,incompatible,7,1404.386422976501,0.7137,164,1.0061651186953129
0,c13r1,test1,1.0,medium,compatible,1,219.3125,1.0,160,1.5707963267948966
1,c13r1,test1,1.0,medium,compatible,2,279.4375,1.0,160,1.5707963267948966
2,c13r1,test1,1.0,medium,compatible,3,371.0,0.9938,160,1.491655513292672
3,c13r1,test1,1.0,medium,compatible,4,465.375,1.0,160,1.5707963267948966
4,c13r1,test1,1.0,medium,compatible,5,599.1875,0.9938,160,1.491655513292672
5,c13r1,test1,1.0,medium,compatible,6,807.0,0.9875,160,1.458755591994354
6,c13r1,test1,1.0,medium,compatible,7,1453.5625,0.9062,160,1.2596132640456683
0,c13r1,test1,1.0,medium,incompatible,1,244.63576158940398,0.9735,151,1.4073109243150093
1,c13r1,test1,1.0,medium,incompatible,2,356.55629139072846,0.9801,151,1.4293703196398964
2,c13r1,test1,1.0,medium,incompatible,3,464.8344370860927,0.9603,151,1.3701150419548966
3,c13r1,test1,1.0,medium,incompatible,4,588.2119205298013,0.9536,151,1.3537882188396684
4,c13r1,test1,1.0,medium,incompatible,5,730.9933774834437,0.9205,151,1.2850161212704734
5,c13r1,test1,1.0,medium,incompatible,6,973.6423841059602,0.8609,151,1.188638253196079
6,c13r1,test1,1.0,medium,incompatible,7,1556.4900662251655,0.7881,151,1.0924079834890816
0,c13r1,test1,1.0,late,compatible,1,214.51977401129943,1.0,177,1.5707963267948966
1,c13r1,test1,1.0,late,compatible,2,274.5762711864407,1.0,177,1.5707963267948966
2,c13r1,test1,1.0,late,compatible,3,382.2598870056497,1.0,177,1.5707963267948966
3,c13r1,test1,1.0,late,compatible,4,504.3502824858757,1.0,177,1.5707963267948966
4,c13r1,test1,1.0,late,compatible,5,662.542372881356,0.9944,177,1.4955589041823418
5,c13r1,test1,1.0,late,compatible,6,910.9604519774011,0.9774,177,1.4198951082459836
6,c13r1,test1,1.0,late,compatible,7,1536.045197740113,0.9209,177,1.285708657165809
0,c13r1,test1,1.0,late,incompatible,1,241.6262975778547,0.9455,165,1.3351729351395614
1,c13r1,test1,1.0,late,incompatible,2,362.7768166089965,0.9879,165,1.460522495885181
2,c13r1,test1,1.0,late,incompatible,3,494.13494809688586,0.9758,165,1.414528438682837
3,c13r1,test1,1.0,late,incompatible,4,623.6332179930796,0.9637,165,1.379013647099601
4,c13r1,test1,1.0,late,incompatible,5,782.2577854671279,0.9516,165,1.3488824606531509
5,c13r1,test1,1.0,late,incompatible,6,998.391003460208,0.8971,165,1.2441756943970237
6,c13r1,test1,1.0,late,incompatible,7,1586.470588235294,0.8971,165,1.2441756943970237
0,c11r2,test2,1.0,early,compatible,1,204.53846153846155,1.0,130,1.5707963267948966
1,c11r2,test2,1.0,early,compatible,2,226.69230769230768,1.0,130,1.5707963267948966
2,c11r2,test2,1.0,early,compatible,3,245.84615384615384,1.0,130,1.5707963267948966
3,c11r2,test2,1.0,early,compatible,4,272.15384615384613,1.0,130,1.5707963267948966
4,c11r2,test2,1.0,early,compatible,5,309.0769230769231,1.0,130,1.5707963267948966
5,c11r2,test2,1.0,early,compatible,6,366.3076923076923,0.9923,130,1.4829728891483236
6,c11r2,test2,1.0,early,compatible,7,479.7692307692308,0.9923,130,1.4829728891483236
0,c11r2,test2,1.0,early,incompatible,1,213.17977528089887,0.882,127,1.2201794254646554
1,c11r2,test2,1.0,early,incompatible,2,254.40449438202245,0.764,127,1.06357372013274
2,c11r2,test2,1.0,early,incompatible,3,323.35955056179785,0.7213,127,1.0146995689040446
3,c11r2,test2,1.0,early,incompatible,4,435.86516853932574,0.7517,127,1.049146032794802
4,c11r2,test2,1.0,early,incompatible,5,561.8089887640449,0.7326,127,1.0273099489153321
5,c11r2,test2,1.0,early,incompatible,6,718.5056179775286,0.6472,127,0.9348028648602714
6,c11r2,test2,1.0,early,incompatible,7,1209.1685393258426,0.2202,127,0.48847637723494847
0,c11r2,test2,1.0,medium,compatible,1,194.77933261571582,1.0,132,1.5707963267948966
1,c11r2,test2,1.0,medium,compatible,2,222.1205597416577,1.0,132,1.5707963267948966
2,c11r2,test2,1.0,medium,compatible,3,238.38536060279873,1.0,132,1.5707963267948966
3,c11r2,test2,1.0,medium,compatible,4,260.2260495156082,1.0,132,1.5707963267948966
4,c11r2,test2,1.0,medium,compatible,5,292.626480086114,1.0,132,1.5707963267948966
5,c11r2,test2,1.0,medium,compatible,6,336.8030139935416,0.9925,132,1.483878233189366
6,c11r2,test2,1.0,medium,compatible,7,465.31754574811606,0.9699,132,1.396305140274883
0,c11r2,test2,1.0,medium,incompatible,1,203.66666666666669,0.9533,128,1.3530556064436503
1,c11r2,test2,1.0,medium,incompatible,2,238.46666666666667,0.9767,128,1.4174403505172186
2,c11r2,test2,1.0,medium,incompatible,3,271.97777777777776,0.9611,128,1.372293897025597
3,c11r2,test2,1.0,medium,incompatible,4,326.8111111111112,0.9433,128,1.3304391036556993
4,c11r2,test2,1.0,medium,incompatible,5,398.4888888888888,0.8778,128,1.2136491786624508
5,c11r2,test2,1.0,medium,incompatible,6,505.0555555555555,0.9222,128,1.2881616652498895
6,c11r2,test2,1.0,medium,incompatible,7,785.4555555555554,0.7511,128,1.0484821731423404
0,c11r2,test2,1.0,late,compatible,1,192.90350128095645,1.0,167,1.5707963267948966
1,c11r2,test2,1.0,late,compatible,2,216.7634500426985,1.0,167,1.5707963267948966
2,c11r2,test2,1.0,late,compatible,3,234.65414175918022,1.0,167,1.5707963267948966
3,c11r2,test2,1.0,late,compatible,4,250.597779675491,1.0,167,1.5707963267948966
4,c11r2,test2,1.0,late,compatible,5,271.73356105892407,1.0,167,1.5707963267948966
5,c11r2,test2,1.0,late,compatible,6,312.67292912040983,0.988,167,1.4612335447748706
6,c11r2,test2,1.0,late,compatible,7,444.38941076003425,0.9462,167,1.3367157004443535
0,c11r2,test2,1.0,late,incompatible,1,201.5483870967742,0.9871,155,1.4569543717221662
1,c11r2,test2,1.0,late,incompatible,2,234.96774193548387,0.9613,155,1.372755884762954
2,c11r2,test2,1.0,late,incompatible,3,258.38709677419354,0.9613,155,1.372755884762954
3,c11r2,test2,1.0,late,incompatible,4,292.96774193548384,0.9613,155,1.372755884762954
4,c11r2,test2,1.0,late,incompatible,5,348.5806451612903,0.9548,155,1.356649213330646
5,c11r2,test2,1.0,late,incompatible,6,431.35483870967744,0.9226,155,1.2888329642648866
6,c11r2,test2,1.0,late,incompatible,7,661.8064516129032,0.8839,155,1.2230526227057987
0,c15r1,control,1.0,early,compatible,1,215.6644880174292,1.0,131,1.5707963267948966
1,c15r1,control,1.0,early,compatible,2,245.31590413943357,1.0,131,1.5707963267948966
2,c15r1,control,1.0,early,compatible,3,273.21350762527237,1.0,131,1.5707963267948966
3,c15r1,control,1.0,early,compatible,4,319.38997821350756,1.0,131,1.5707963267948966
4,c15r1,control,1.0,early,compatible,5,369.18300653594764,1.0,131,1.5707963267948966
5,c15r1,control,1.0,early,compatible,6,434.45533769063206,1.0,131,1.5707963267948966
6,c15r1,control,1.0,early,compatible,7,582.7886710239651,0.9924,131,1.4833613847273448
0,c15r1,control,1.0,early,incompatible,1,234.19642857142858,0.8482,112,1.1706012243432795
1,c15r1,control,1.0,early,incompatible,2,300.89285714285717,0.7232,112,1.0167831001299665
2,c15r1,control,1.0,early,incompatible,3,402.23214285714283,0.6696,112,0.958476743146782
3,c15r1,control,1.0,early,incompatible,4,529.375,0.6071,112,0.8933788555184021
4,c15r1,control,1.0,early,incompatible,5,686.3392857142857,0.5536,112,0.8390729070972617
5,c15r1,control,1.0,early,incompatible,6,959.1071428571429,0.3482,112,0.6311789842862414
6,c15r1,control,1.0,early,incompatible,7,1823.392857142857,0.0357,112,0.19012536250196255
0,c15r1,control,1.0,medium,compatible,1,206.3758389261745,1.0,149,1.5707963267948966
1,c15r1,control,1.0,medium,compatible,2,235.7718120805369,1.0,149,1.5707963267948966
2,c15r1,control,1.0,medium,compatible,3,257.248322147651,1.0,149,1.5707963267948966
3,c15r1,control,1.0,medium,compatible,4,284.09395973154363,1.0,149,1.5707963267948966
4,c15r1,control,1.0,medium,compatible,5,327.4496644295302,1.0,149,1.5707963267948966
5,c15r1,control,1.0,medium,compatible,6,377.38255033557044,1.0,149,1.5707963267948966
6,c15r1,control,1.0,medium,compatible,7,520.3355704697987,0.9799,149,1.428422814459605
0,c15r1,control,1.0,medium,incompatible,1,215.88235294117646,0.9328,119,1.3085189372951802
1,c15r1,control,1.0,medium,incompatible,2,257.89915966386553,0.8992,119,1.2476468757871797
2,c15r1,control,1.0,medium,incompatible,3,306.0504201680672,0.8908,119,1.2339418765252164
3,c15r1,control,1.0,medium,incompatible,4,380.84033613445376,0.8739,119,1.2078447948895414
4,c15r1,control,1.0,medium,incompatible,5,470.0840336134454,0.9076,119,1.2618714662969632
5,c15r1,control,1.0,medium,incompatible,6,594.6218487394958,0.8151,119,1.126336370891966
6,c15r1,control,1.0,medium,incompatible,7,1201.9327731092437,0.4706,119,0.7559689423552681
0,c15r1,control,1.0,late,compatible,1,193.4375,1.0,160,1.5707963267948966
1,c15r1,control,1.0,late,compatible,2,220.75,1.0,160,1.5707963267948966
2,c15r1,control,1.0,late,compatible,3,238.125,1.0,160,1.5707963267948966
3,c15r1,control,1.0,late,compatible,4,258.9375,1.0,160,1.5707963267948966
4,c15r1,control,1.0,late,compatible,5,292.4375,1.0,160,1.5707963267948966
5,c15r1,control,1.0,late,compatible,6,357.125,0.9875,160,1.458755591994354
6,c15r1,control,1.0,late,compatible,7,508.25,0.9875,160,1.458755591994354
0,c15r1,control,1.0,late,incompatible,1,204.07407407407408,0.951,142,1.3474738436013665
1,c15r1,control,1.0,late,incompatible,2,243.26326326326324,0.9159,142,1.2765982993910807
2,c15r1,control,1.0,late,incompatible,3,278.0480480480481,0.9089,142,1.2642020827199845
3,c15r1,control,1.0,late,incompatible,4,325.8658658658659,0.951,142,1.3474738436013665
4,c15r1,control,1.0,late,incompatible,5,390.97097097097077,0.9369,142,1.316955334241649
5,c15r1,control,1.0,late,incompatible,6,482.792792792793,0.9159,142,1.2765982993910807
6,c15r1,control,1.0,late,incompatible,7,770.6506506506504,0.8108,142,1.1208029886268736
0,c37r2,control,3.0,early,compatible,1,212.11028632025452,0.9926,134,1.4845373422464951
1,c37r2,control,3.0,early,compatible,2,240.67868504772005,0.9926,134,1.4845373422464951
2,c37r2,control,3.0,early,compatible,3,254.6871686108165,1.0,134,1.5707963267948966
3,c37r2,control,3.0,early,compatible,4,269.7030752916225,1.0,134,1.5707963267948966
4,c37r2,control,3.0,early,compatible,5,287.9533404029691,1.0,134,1.5707963267948966
5,c37r2,control,3.0,early,compatible,6,316.93531283138935,1.0,134,1.5707963267948966
6,c37r2,control,3.0,early,compatible,7,407.99575821845156,0.9703,134,1.3976175766175258
0,c37r2,control,3.0,early,incompatible,1,216.5,0.4929,140,0.7782552738863
1,c37r2,control,3.0,early,incompatible,2,253.42857142857142,0.3714,140,0.6553654222378263
2,c37r2,control,3.0,early,incompatible,3,286.5,0.2857,140,0.5639420688914513
3,c37r2,control,3.0,early,incompatible,4,339.57142857142856,0.3429,140,0.6255460350730184
4,c37r2,control,3.0,early,incompatible,5,424.7857142857143,0.4,140,0.6847198071443585
5,c37r2,control,3.0,early,incompatible,6,545.9285714285714,0.4429,140,0.7281300084462078
6,c37r2,control,3.0,early,incompatible,7,808.5,0.1857,140,0.4455408563199753
0,c37r2,control,3.0,medium,compatible,1,203.84057971014494,1.0,138,1.5707963267948966
1,c37r2,control,3.0,medium,compatible,2,226.59420289855072,1.0,138,1.5707963267948966
2,c37r2,control,3.0,medium,compatible,3,239.20289855072463,1.0,138,1.5707963267948966
3,c37r2,control,3.0,medium,compatible,4,252.68115942028984,1.0,138,1.5707963267948966
