,Sujets,Group,Effectif,TrainingPhase,Compatibility,Quantiles,MeanRT,PercentCorrect,NofResp,asinPC
4,c3r2,control,1.0,medium,compatible,5,382.9559748427673,1.0,159,1.5707963267948966
5,c3r2,control,1.0,medium,compatible,6,457.42138364779873,1.0,159,1.5707963267948966
6,c3r2,control,1.0,medium,compatible,7,659.496855345912,0.9937,159,1.4914029373905127
0,c3r2,control,1.0,medium,incompatible,1,253.24532453245328,0.6623,129,0.9506561482446709
1,c3r2,control,1.0,medium,incompatible,2,379.6589658965897,0.5677,129,0.8532631112915742
2,c3r2,control,1.0,medium,incompatible,3,470.7810781078107,0.5567,129,0.8421763679547071
3,c3r2,control,1.0,medium,incompatible,4,551.3421342134214,0.5699,129,0.85548485766257
4,c3r2,control,1.0,medium,incompatible,5,643.6523652365238,0.6084,129,0.8946258680555923
5,c3r2,control,1.0,medium,incompatible,6,797.0407040704065,0.5468,129,0.8322218185962715
6,c3r2,control,1.0,medium,incompatible,7,1392.5192519251927,0.231,129,0.5013946585818504
0,c3r2,control,1.0,late,compatible,1,195.87852494577004,1.0,131,1.5707963267948966
1,c3r2,control,1.0,late,compatible,2,223.57917570498915,1.0,131,1.5707963267948966
2,c3r2,control,1.0,late,compatible,3,245.21691973969632,1.0,131,1.5707963267948966
3,c3r2,control,1.0,late,compatible,4,275.6073752711497,0.9924,131,1.4835562796182127
4,c3r2,control,1.0,late,compatible,5,330.3579175704988,1.0,131,1.5707963267948966
5,c3r2,control,1.0,late,compatible,6,419.58785249457725,0.9924,131,1.4835562796182127
6,c3r2,control,1.0,late,compatible,7,608.9154013015182,0.9469,131,1.338173061435273
0,c3r2,control,1.0,late,incompatible,1,220.9090909090909,0.9205,125,1.2848778098852804
1,c3r2,control,1.0,late,incompatible,2,266.4204545454545,0.8693,125,1.2009198323226276
2,c3r2,control,1.0,late,incompatible,3,320.5454545454547,0.8682,125,1.1992388296154899
3,c3r2,control,1.0,late,incompatible,4,405.64772727272714,0.9443,125,1.3325782485861666
4,c3r2,control,1.0,late,incompatible,5,481.61363636363643,0.9443,125,1.3325782485861666
5,c3r2,control,1.0,late,incompatible,6,584.545454545455,0.9443,125,1.3325782485861666
6,c3r2,control,1.0,late,incompatible,7,997.8295454545453,0.7295,125,1.0238833404856227
0,c4r1,test2,1.0,early,compatible,1,227.25806451612905,1.0,132,1.5707963267948966
1,c4r1,test2,1.0,early,compatible,2,288.247311827957,1.0,132,1.5707963267948966
2,c4r1,test2,1.0,early,compatible,3,352.17204301075253,1.0,132,1.5707963267948966
3,c4r1,test2,1.0,early,compatible,4,408.34408602150546,1.0,132,1.5707963267948966
4,c4r1,test2,1.0,early,compatible,5,476.07526881720446,1.0,132,1.5707963267948966
5,c4r1,test2,1.0,early,compatible,6,577.7204301075265,1.0,132,1.5707963267948966
6,c4r1,test2,1.0,early,compatible,7,819.8064516129034,0.9699,132,1.3963973265227148
0,c4r1,test2,1.0,early,incompatible,1,285.6028368794326,0.8511,120,1.1745882160568675
